START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
06/24/16,06:40 PM,08:40 PM,D-backs at Rockies,Coors Field - Denver,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850- KNRV 1150",06/24/16,06/24/16,09:40 PM,11:40 PM,FALSE,TRUE,06/24/16,05:40 PM,07:40 PM,FREE,BUSY
06/25/16,02:10 PM,04:10 PM,D-backs at Rockies,Coors Field - Denver,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850- KNRV 1150",06/25/16,06/25/16,05:10 PM,07:10 PM,FALSE,TRUE,06/25/16,01:10 PM,03:10 PM,FREE,BUSY
06/26/16,02:10 PM,04:10 PM,D-backs at Rockies,Coors Field - Denver,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850- KNRV 1150",06/26/16,06/26/16,05:10 PM,07:10 PM,FALSE,TRUE,06/26/16,01:10 PM,03:10 PM,FREE,BUSY
06/27/16,06:40 PM,08:40 PM,Blue Jays at Rockies,Coors Field - Denver,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850- KNRV 1150",06/27/16,06/27/16,09:40 PM,11:40 PM,FALSE,TRUE,06/27/16,05:40 PM,07:40 PM,FREE,BUSY
06/28/16,06:40 PM,08:40 PM,Blue Jays at Rockies,Coors Field - Denver,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850- KNRV 1150",06/28/16,06/28/16,09:40 PM,11:40 PM,FALSE,TRUE,06/28/16,05:40 PM,07:40 PM,FREE,BUSY
06/29/16,01:10 PM,03:10 PM,Blue Jays at Rockies,Coors Field - Denver,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850- KNRV 1150",06/29/16,06/29/16,04:10 PM,06:10 PM,FALSE,TRUE,06/29/16,12:10 PM,02:10 PM,FREE,BUSY
07/07/16,06:40 PM,08:40 PM,Phillies at Rockies,Coors Field - Denver,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850- KNRV 1150",07/07/16,07/07/16,09:40 PM,11:40 PM,FALSE,TRUE,07/07/16,05:40 PM,07:40 PM,FREE,BUSY
07/08/16,06:10 PM,08:10 PM,Phillies at Rockies,Coors Field - Denver,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850- KNRV 1150",07/08/16,07/08/16,09:10 PM,11:10 PM,FALSE,TRUE,07/08/16,05:10 PM,07:10 PM,FREE,BUSY
07/09/16,06:40 PM,08:40 PM,Phillies at Rockies,Coors Field - Denver,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850- KNRV 1150",07/09/16,07/09/16,09:40 PM,11:40 PM,FALSE,TRUE,07/09/16,05:40 PM,07:40 PM,FREE,BUSY
07/10/16,02:10 PM,04:10 PM,Phillies at Rockies,Coors Field - Denver,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850- KNRV 1150",07/10/16,07/10/16,05:10 PM,07:10 PM,FALSE,TRUE,07/10/16,01:10 PM,03:10 PM,FREE,BUSY
